company,label_standardized,category_display,complaint_count,timely_rate,late_response_count,high_risk_count,avg_narrative_word_count
"Paypal Holdings, Inc",money_transfer,Money Transfer,5,1.0,0,1,199.0
"Pendrick Capital Partners Holding, LLC",debt_collection,Debt Collection,1,1.0,0,1,415.0
Penn Credit Corporation,debt_collection,Debt Collection,1,1.0,0,0,64.0
Perfection Collection,credit_reporting,Credit Reporting,1,1.0,0,0,105.0
"Peter T. Roach and Associates, P.C.",mortgage,Mortgage,1,1.0,0,0,192.0
Phoenix Financial Services LLC,debt_collection,Debt Collection,2,1.0,0,0,156.5
"Platinum Holdings Group, LLC",debt_collection,Debt Collection,1,1.0,0,0,127.0
"Pollack & Rosen, P.A.",debt_collection,Debt Collection,1,1.0,0,0,184.0
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",debt_collection,Debt Collection,2,1.0,0,2,384.0
Profit Services Group,credit_reporting,Credit Reporting,1,0.0,1,1,223.0
Quality Asset Recovery LLC,credit_reporting,Credit Reporting,1,1.0,0,0,242.0
REGIONS FINANCIAL CORPORATION,credit_reporting,Credit Reporting,1,1.0,0,1,579.0
"Real Time Group, Inc.",mortgage,Mortgage,1,1.0,0,1,577.0
"Receivables Management Partners, LLC",debt_collection,Debt Collection,1,1.0,0,0,156.0
"Receivables Outsourcing, Inc.",debt_collection,Debt Collection,1,1.0,0,1,380.0
"Receivables Performance Management, LLC",credit_reporting,Credit Reporting,1,1.0,0,0,155.0
Resurgent Capital Services L.P.,debt_collection,Debt Collection,4,1.0,0,2,265.5
"Retrieval-Masters Creditors Bureau, Inc., Elmsford, NY Branch",debt_collection,Debt Collection,2,1.0,0,0,256.0
Riverwalk Financial Corporation,credit_reporting,Credit Reporting,1,1.0,0,0,118.0
"Rocket Mortgage, LLC",mortgage,Mortgage,1,1.0,0,1,523.0
RoundPoint Mortgage Servicing Corporation,debt_collection,Debt Collection,1,1.0,0,1,577.0
RoundPoint Mortgage Servicing Corporation,mortgage,Mortgage,1,1.0,0,1,411.0
"Rubin & Rothman, LLC",debt_collection,Debt Collection,1,1.0,0,0,178.0
"Russell Collection Agency, Inc",debt_collection,Debt Collection,1,1.0,0,0,37.0
"SANTANDER BANK, NATIONAL ASSOCIATION",bank_account,Bank Account,1,1.0,0,0,250.0
"SELECT PORTFOLIO SERVICING, INC.",debt_collection,Debt Collection,1,1.0,0,0,100.0
"SELECT PORTFOLIO SERVICING, INC.",mortgage,Mortgage,4,1.0,0,3,337.0
SHABANA MOTORS,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,146.0
SLM CORPORATION,student_loan,Student Loan,2,1.0,0,1,210.5
"STERLING JEWELERS, INC.",debt_collection,Debt Collection,2,1.0,0,0,128.0
"SUNRISE CREDIT SERVICES, INC",debt_collection,Debt Collection,2,1.0,0,0,33.0
"SUNTRUST BANKS, INC.",bank_account,Bank Account,1,1.0,0,0,26.0
"SUNTRUST BANKS, INC.",debt_collection,Debt Collection,1,1.0,0,0,195.0
SYNCHRONY FINANCIAL,bank_account,Bank Account,1,1.0,0,0,223.0
SYNCHRONY FINANCIAL,credit_card_or_prepaid_card,Credit Card / Prepaid Card,12,1.0,0,3,267.8333333333333
SYNCHRONY FINANCIAL,credit_reporting,Credit Reporting,3,1.0,0,0,175.33333333333334
SYNCHRONY FINANCIAL,debt_collection,Debt Collection,2,1.0,0,0,167.0
SYNCHRONY FINANCIAL,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,0,234.0
Santander Consumer USA Holdings Inc.,debt_collection,Debt Collection,1,1.0,0,0,77.0
Santander Consumer USA Holdings Inc.,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,1,530.0
Santander Consumer USA Holdings Inc.,vehicle_loan_or_lease,Vehicle Loan / Lease,3,1.0,0,2,342.3333333333333
"Security Credit Services, LLC",debt_collection,Debt Collection,1,1.0,0,0,127.0
Selene Finance LP,mortgage,Mortgage,1,1.0,0,0,134.0
"Sequium Asset Solutions, LLC",debt_collection,Debt Collection,1,1.0,0,0,105.0
"Servis One, Inc., Titusville, PA Branch",mortgage,Mortgage,1,1.0,0,1,443.0
"Seterus, Inc.",mortgage,Mortgage,1,1.0,0,1,315.0
"Shellpoint Partners, LLC",mortgage,Mortgage,6,0.8333333333333334,1,4,332.8333333333333
Specialized Loan Servicing Holdings LLC,mortgage,Mortgage,2,1.0,0,0,245.5
"State Collection Service, Inc.",debt_collection,Debt Collection,1,1.0,0,0,172.0
State Home Mortgage,mortgage,Mortgage,1,0.0,1,1,178.0
Supreme Lending,mortgage,Mortgage,1,1.0,0,1,542.0
TCF NATIONAL BANK,bank_account,Bank Account,1,1.0,0,0,232.0
TCF NATIONAL BANK,mortgage,Mortgage,1,1.0,0,0,221.0
TD BANK US HOLDING COMPANY,bank_account,Bank Account,2,1.0,0,0,163.5
TD BANK US HOLDING COMPANY,credit_reporting,Credit Reporting,1,1.0,0,0,119.0
TD BANK US HOLDING COMPANY,debt_collection,Debt Collection,1,1.0,0,1,400.0
TMX Finance LLC,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,2,1.0,0,1,441.0
TOYOTA MOTOR CREDIT CORPORATION,debt_collection,Debt Collection,1,1.0,0,1,473.0
TOYOTA MOTOR CREDIT CORPORATION,vehicle_loan_or_lease,Vehicle Loan / Lease,2,1.0,0,1,308.5
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_reporting,Credit Reporting,111,1.0,0,15,172.74774774774775
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",debt_collection,Debt Collection,2,1.0,0,0,253.5
